date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:50:01	232/232	---MCZ	200	added ('OK')	text/plain	etag:W/%2262a82435-1d8%22	https://www.fonehouse.co.uk/robots.txt		(from )
21:50:11	154128/154128	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:50:07%20GMT	https://www.fonehouse.co.uk/	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/index.html	(from )
21:50:12	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2024%20Jul%202022%2019:50:12%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/phones32/www.googletagmanager.com/gtm.05445.delayed	(from https://www.fonehouse.co.uk/)
21:50:13	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2262daa545-12d68%22	https://www.fonehouse.co.uk/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/fonts/fontawesome-webfont3e6e.woff2	(from https://www.fonehouse.co.uk/)
21:50:14	51206/51206	---MCZ	200	added ('OK')	text/css	etag:W/%2262daa67f-c777%22	https://www.fonehouse.co.uk/css/common.css?51063	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/css/common93f0.css	(from https://www.fonehouse.co.uk/)
21:50:14	68215/68215	---MCZ	200	added ('OK')	text/css	etag:W/%2262daa67d-10aba%22	https://www.fonehouse.co.uk/css/site.css?68282	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/css/sitea7fd.css	(from https://www.fonehouse.co.uk/)
21:50:14	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262da7f4a-302c%22	https://www.fonehouse.co.uk/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://www.fonehouse.co.uk/)
21:50:14	7490/7490	---MCZ	200	added ('OK')	text/css	etag:W/%2262a8257d-1d51%22	https://www.fonehouse.co.uk/css/home.css	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/css/home.css	(from https://www.fonehouse.co.uk/)
21:50:15	3352/3352	---MCZ	200	added ('OK')	text/css	etag:W/%2262a82443-d18%22	https://www.fonehouse.co.uk/css/owl.carousel.min.css	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/css/owl.carousel.min.css	(from https://www.fonehouse.co.uk/)
21:50:15	1013/1013	---M-Z	200	added ('OK')	text/css	etag:W/%2262a82442-3f5%22	https://www.fonehouse.co.uk/css/owl.theme.default.min.css	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/css/owl.theme.default.min.css	(from https://www.fonehouse.co.uk/)
21:50:16	1592/1592	---M--	200	added ('OK')	image/png	etag:%2262d82551-92b%22	https://www.fonehouse.co.uk/apple-touch-icon.png	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/apple-touch-icon.png	(from https://www.fonehouse.co.uk/)
21:50:16	1651/1651	---M--	200	added ('OK')	image/png	etag:%2262cc2ca6-788%22	https://www.fonehouse.co.uk/favicon-32x32.png	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/favicon-32x32.png	(from https://www.fonehouse.co.uk/)
21:50:17	958/958	---M--	200	added ('OK')	image/png	etag:%2262a82443-4e9%22	https://www.fonehouse.co.uk/favicon-16x16.png	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/favicon-16x16.png	(from https://www.fonehouse.co.uk/)
21:50:17	444/444	---M--	200	added ('OK')	application/octet-stream	etag:%2262daa543-1bc%22	https://www.fonehouse.co.uk/site.webmanifest	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/site.webmanifest	(from https://www.fonehouse.co.uk/)
21:50:18	1407/1407	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2262daa543-57f%22	https://www.fonehouse.co.uk/safari-pinned-tab.svg	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/safari-pinned-tab.svg	(from https://www.fonehouse.co.uk/)
21:50:18	3346/3346	---M--	200	added ('OK')	image/jpeg	etag:%2262cc2ca7-1594%22	https://www.fonehouse.co.uk/images/og-image.jpg	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/images/og-image.jpg	(from https://www.fonehouse.co.uk/)
21:50:20	4064/4064	---MCZ	200	added ('OK')	text/css	etag:W/%2262a82443-fe0%22	https://www.fonehouse.co.uk/css/cookieconsent.min.css	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/css/cookieconsent.min.css	(from https://www.fonehouse.co.uk/)
21:50:21	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jul%202022%2019:50:21%20GMT	http://widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	C:/My%20Web%20Sites/phones32/widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.10.delayed	(from https://www.fonehouse.co.uk/)
21:50:21	20723/20723	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262a825ab-50f3%22	https://www.fonehouse.co.uk/js/cookieconsent.min.js	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/js/cookieconsent.min.js	(from https://www.fonehouse.co.uk/)
21:50:21	19295/19295	---M-Z	200	added ('OK')	application/x-javascript	etag:%225add60196e5f96a414fb4b9586764e5d%22	https://widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	C:/My%20Web%20Sites/phones32/widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	(from https://www.fonehouse.co.uk/)
21:50:22	38765/38765	---M-Z	200	added ('OK')	application/javascript	etag:%220c8eafcad81d81:0%22	http://bat.bing.com/bat.js	C:/My%20Web%20Sites/phones32/bat.bing.com/bat.js	(from https://www.fonehouse.co.uk/)
21:50:22	1710/1710	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262daa541-6ae%22	https://www.fonehouse.co.uk/images/header/nav/question.svg	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/images/header/nav/question.svg	(from https://www.fonehouse.co.uk/)
21:50:24	1283/1283	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2262daa541-503%22	https://www.fonehouse.co.uk/images/header/nav/sale.svg	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/images/header/nav/sale.svg	(from https://www.fonehouse.co.uk/)
21:50:24	313017/313017	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:50:24%20GMT	https://www.fonehouse.co.uk/mobile-phone-offers	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/mobile-phone-offers.html	(from https://www.fonehouse.co.uk/)
21:50:24	848/848	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262daa546-350%22	https://www.fonehouse.co.uk/images/header/nav/phone.svg	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/images/header/nav/phone.svg	(from https://www.fonehouse.co.uk/)
21:50:26	163862/163862	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:50:26%20GMT	https://www.fonehouse.co.uk/mobile-phone-deals	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/mobile-phone-deals.html	(from https://www.fonehouse.co.uk/)
21:50:27	202887/202887	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:50:27%20GMT	https://www.fonehouse.co.uk/mobile-phone-deals/iphone-13-pro-5g	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/mobile-phone-deals/iphone-13-pro-5g.html	(from https://www.fonehouse.co.uk/)
21:50:28	204119/204119	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:50:28%20GMT	https://www.fonehouse.co.uk/mobile-phone-deals/iphone-13-5g	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/mobile-phone-deals/iphone-13-5g.html	(from https://www.fonehouse.co.uk/)
21:50:29	192526/192526	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:50:29%20GMT	https://www.fonehouse.co.uk/mobile-phone-deals/iphone-13-pro-max-5g	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/mobile-phone-deals/iphone-13-pro-max-5g.html	(from https://www.fonehouse.co.uk/)
21:50:31	205572/205572	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:50:31%20GMT	https://www.fonehouse.co.uk/mobile-phone-deals/apple-iphone-11	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/mobile-phone-deals/apple-iphone-11.html	(from https://www.fonehouse.co.uk/)
